x_m,y_m,z_m,FOF,HF,Temperature_K,TempGrad_Kpm,Vx,Vy,Vz,Vmag,x_mm,y_mm,z_mm,power_W,kNN,cond_A,grad_valid,Q,Q_pos_flag,vorticity_mag,strain2,is_interface,is_heated,is_interface_heated,is_slice_near_symmetry,slice_y_threshold_m
0.00505,0.00025,5e-05,0.999756,0.0,1789.6600000000003,1504190.0,0.015641,0.00604854,-0.006008,0.0178135,5.05,0.25,0.05,350,25,3.39072396761165,1,-180.32795121800882,0,290.4824617454127,42550.68619327359,0,0,0,0,2e-05
0.00505,0.00035,0.00015,0.999788,0.0,1565.27,1499840.0,0.00202503,0.000352098,-0.00167294,0.00265018,5.05,0.35,0.15,350,25,3.7408521017976937,1,-7002.258210950575,0,665.1923908126673,235244.9748194373,0,0,0,0,2e-05
0.00505,0.00045,0.00025,0.91766,0.0,1583.15,1312930.0,0.00417242,0.00290744,-0.00296387,0.00588616,5.05,0.45,0.25,350,25,1.5029104962580373,1,26116.144076460492,1,646.9687494230989,157051.99321212323,1,0,0,0,2e-05
0.00505,0.00045,0.000271841,0.836373,0.0,1631.74,1193030.0,0.00834484,0.00581489,-0.00592774,0.0117723,5.05,0.45,0.271841,350,25,1.5747627756811637,1,23602.891886539786,1,643.4092092631028,159781.921509206,1,0,0,0,2e-05
0.00506999,0.000436485,0.000169133,0.9951799999999998,0.0,1729.11,1283990.0,0.028170099999999997,0.0114597,-0.0220272,0.037551,5.06999,0.436485,0.169133,350,25,1.5814290553426045,1,-12778.621026420831,0,188.70287426522478,43361.62943082028,0,0,0,0,2e-05
0.00508024,0.000102289,-2.43e-05,0.999858,0.0,1719.74,1677570.0,0.005248159999999999,0.00175555,-0.00329365,0.00643997,5.08024,0.10228899999999999,-0.024300000000000002,350,25,1.8423212472329238,1,-864.130671547603,0,11.670106164047725,1796.3570320352783,0,0,0,0,2e-05
0.00508895,0.000307439,8.11694e-05,0.999709,0.0,1725.4271428571428,1435800.0,0.0142893,0.0039147,-0.00849465,0.0170783,5.08895,0.307439,0.0811694,350,25,6.910645190812402,1,6089.892138247706,1,436.2433269435217,82974.33587488077,0,0,0,0,2e-05
0.00509083,0.000371397,0.000350769,0.670386,0.0,1831.28,1607060.0,0.10319,0.0387704,-0.0829713,0.137969,5.09083,0.371397,0.350769,350,25,2.3821608431983314,1,-262874.3535194085,0,820.8740502481251,862665.8102241977,1,0,0,0,2e-05
0.005099,0.000298022,0.00039154,0.822587,0.0,1884.43,1759220.0,0.0782019,0.0297342,-0.0523442,0.0986893,5.099,0.298022,0.39154,350,25,3.05869088645418,1,-426643.5663202378,0,928.3966053164105,1284247.2610219931,1,0,0,0,2e-05
0.00509971,1.66456e-05,0.00039365,1.0,0.0,2169.31,3194660.0,0.00131447,0.00343657,-0.0213127,0.021627999999999998,5.09971,0.0166456,0.39365,350,25,1.8323630322416211,1,-7464.03483717065,0,746.9074657916569,293863.4509019989,0,0,0,1,2e-05
