kNN,region,threshold,threshold_value,phi_350,phi_400,ratio_350_400,diff_350_400,direction
15,interface,Q>posP90,202356.3772311593,0.0072992700729927005,0.015625,0.46715328467153283,-0.0083257299270073,350<400
15,interface_heated,Q>0,0.0,0.08108108108108109,0.19230769230769232,0.42162162162162165,-0.11122661122661123,350<400
15,interface_heated,Q>posP50,59984.592582673125,0.05405405405405406,0.11538461538461539,0.46846846846846846,-0.061330561330561334,350<400
15,interface_heated,Q>posP75,152741.94023753013,0.0,0.11538461538461539,0.0,-0.11538461538461539,350<400
15,interface_heated,Q>posP90,367304.9517165555,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
16,all,Q>0,0.0,0.15824915824915825,0.08070175438596491,1.9609134826526131,0.07754740386319334,350>400
16,all,Q>posP50,7928.587411970486,0.09090909090909091,0.021052631578947368,4.318181818181818,0.06985645933014355,350>400
16,all,Q>posP75,30105.651447348526,0.04377104377104377,0.010526315789473684,4.158249158249158,0.03324472798157009,350>400
16,all,Q>posP90,86424.46419072784,0.006734006734006734,0.007017543859649123,0.9595959595959596,-0.0002835371256423892,350<400
16,heated,Q>0,0.0,0.075,0.1111111111111111,0.675,-0.03611111111111111,350<400
16,heated,Q>posP50,48033.1334633339,0.05,0.1111111111111111,0.45000000000000007,-0.0611111111111111,350<400
16,heated,Q>posP75,86164.79270508957,0.025,0.07407407407407407,0.3375,-0.04907407407407407,350<400
16,heated,Q>posP90,232239.6908882551,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
16,interface,Q>0,0.0,0.18248175182481752,0.0390625,4.671532846715328,0.14341925182481752,350>400
16,interface,Q>posP50,27977.70404473219,0.08029197080291971,0.0234375,3.4257907542579074,0.05685447080291971,350>400
16,interface,Q>posP75,61383.27304860502,0.029197080291970802,0.0234375,1.245742092457421,0.005759580291970802,350>400
16,interface,Q>posP90,140400.33945833484,0.0072992700729927005,0.015625,0.46715328467153283,-0.0083257299270073,350<400
16,interface_heated,Q>0,0.0,0.08108108108108109,0.11538461538461539,0.7027027027027027,-0.034303534303534305,350<400
16,interface_heated,Q>posP50,48033.1334633339,0.05405405405405406,0.11538461538461539,0.46846846846846846,-0.061330561330561334,350<400
16,interface_heated,Q>posP75,86164.79270508957,0.02702702702702703,0.07692307692307693,0.35135135135135137,-0.0498960498960499,350<400
16,interface_heated,Q>posP90,232239.6908882551,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
17,all,Q>0,0.0,0.15282392026578073,0.0912280701754386,1.6751852798364426,0.06159585009034213,350>400
17,all,Q>posP50,7551.014966036404,0.08970099667774087,0.017543859649122806,5.11295681063123,0.07215713702861806,350>400
17,all,Q>posP75,30268.734920746836,0.036544850498338874,0.014035087719298246,2.603820598006645,0.022509762779040626,350>400
17,all,Q>posP90,86248.42701788984,0.0033222591362126247,0.014035087719298246,0.2367109634551495,-0.010712828583085622,350<400
17,heated,Q>0,0.0,0.1,0.1111111111111111,0.9000000000000001,-0.0111111111111111,350<400
17,heated,Q>posP50,37616.6377210278,0.025,0.1111111111111111,0.22500000000000003,-0.08611111111111111,350<400
17,heated,Q>posP75,88642.17397734962,0.0,0.1111111111111111,0.0,-0.1111111111111111,350<400
17,heated,Q>posP90,225862.83709360147,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
17,interface,Q>0,0.0,0.1897810218978102,0.046875,4.0486618004866175,0.1429060218978102,350>400
17,interface,Q>posP50,28445.959159816994,0.08759124087591241,0.03125,2.802919708029197,0.05634124087591241,350>400
17,interface,Q>posP75,66051.60991462984,0.021897810218978103,0.03125,0.7007299270072993,-0.009352189781021897,350<400
17,interface,Q>posP90,139508.75787611687,0.0072992700729927005,0.0234375,0.31143552311435524,-0.0161382299270073,350<400
17,interface_heated,Q>0,0.0,0.10810810810810811,0.11538461538461539,0.9369369369369369,-0.007276507276507277,350<400
17,interface_heated,Q>posP50,37616.6377210278,0.02702702702702703,0.11538461538461539,0.23423423423423423,-0.08835758835758836,350<400
17,interface_heated,Q>posP75,88642.17397734962,0.0,0.11538461538461539,0.0,-0.11538461538461539,350<400
17,interface_heated,Q>posP90,225862.83709360147,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
18,all,Q>0,0.0,0.15181518151815182,0.07719298245614035,1.9666966696669668,0.07462219906201147,350>400
18,all,Q>posP50,6098.151686937656,0.0858085808580858,0.02456140350877193,3.4936350777934937,0.061247177349313876,350>400
18,all,Q>posP75,32851.8721006194,0.039603960396039604,0.017543859649122806,2.2574257425742577,0.0220601007469168,350>400
18,all,Q>posP90,77001.19385857556,0.006600660066006601,0.010526315789473684,0.6270627062706271,-0.003925655723467083,350<400
18,heated,Q>0,0.0,0.125,0.1111111111111111,1.125,0.013888888888888895,350>400
